epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
46,29.495,0.76376,1.10943,0.7149,0.96143,0,0.94978,0.92771,0.96192,0.66011,0.94525,0.92771,0.9628,0.58595,1.07237,1.67089,0.83829,0.94356,0,0.00088625,0.00088625,0.00088625
47,30.0762,0.76643,1.16485,0.71905,0.94004,0,0.95067,0.92875,0.96214,0.68415,0.94053,0.9527,0.96367,0.57044,1.02227,1.7395,0.81474,0.93489,0,0.0008615,0.0008615,0.0008615
48,30.7633,0.80055,1.22634,0.70871,0.91909,0,0.93993,0.94269,0.95469,0.68592,0.9522,0.96006,0.96463,0.58957,1.01365,1.69585,0.79618,0.92807,0,0.00083675,0.00083675,0.00083675
49,31.32,0.69429,1.0361,0.64532,0.90352,0,0.93993,0.94269,0.95469,0.68592,0.9522,0.96006,0.96463,0.58957,1.01365,1.69585,0.79618,0.92807,0,0.000812,0.000812,0.000812
50,31.8795,0.76313,1.14623,0.70769,0.9305,0,0.93985,0.94127,0.95379,0.68127,0.95234,0.96307,0.96307,0.58771,1.02826,1.62765,0.77606,0.90716,0,0.00078725,0.00078725,0.00078725
51,32.4547,0.73431,1.11418,0.71878,0.92439,0,0.95068,0.96386,0.96184,0.68069,0.95068,0.96386,0.96184,0.61907,1.03263,1.66311,0.73775,0.91624,0,0.0007625,0.0007625,0.0007625
52,33.0392,0.72937,1.09543,0.63591,0.87865,0,0.95057,0.96386,0.95956,0.69599,0.95057,0.96386,0.95956,0.623,0.99692,1.73022,0.69263,0.91802,0,0.00073775,0.00073775,0.00073775
53,33.6091,0.70497,1.16054,0.69774,0.91675,0,0.95057,0.96386,0.95956,0.69599,0.95057,0.96386,0.95956,0.623,0.99692,1.73022,0.69263,0.91802,0,0.000713,0.000713,0.000713
54,34.1935,0.70625,1.11436,0.67439,0.89695,0,0.94235,0.96386,0.95952,0.69206,0.94235,0.96386,0.96068,0.59973,0.98151,1.78193,0.6704,0.90783,0,0.00068825,0.00068825,0.00068825
55,34.749,0.70724,1.12718,0.691,0.95185,0,0.92777,0.96386,0.95922,0.68881,0.92777,0.96386,0.96039,0.60192,0.99599,1.67626,0.68331,0.90867,0,0.0006635,0.0006635,0.0006635
56,35.3071,0.67535,1.01305,0.69395,0.94021,0,0.93477,0.96386,0.95872,0.69646,0.93477,0.96386,0.95875,0.60856,0.99966,1.59617,0.69036,0.90704,0,0.00063875,0.00063875,0.00063875
57,35.8726,0.68884,0.96405,0.62299,0.90556,0,0.93477,0.96386,0.95872,0.69646,0.93477,0.96386,0.95875,0.60856,0.99966,1.59617,0.69036,0.90704,0,0.000614,0.000614,0.000614
58,36.4169,0.61055,1.1136,0.69416,0.95208,0,0.91153,0.96386,0.95753,0.69555,0.91153,0.96386,0.95755,0.62359,0.97342,1.59169,0.65558,0.89494,0,0.00058925,0.00058925,0.00058925
59,36.9833,0.62138,0.92263,0.64884,0.92672,0,0.91654,0.96386,0.95738,0.69091,0.91654,0.96386,0.95772,0.63752,0.97683,1.64226,0.62652,0.89764,0,0.0005645,0.0005645,0.0005645
60,37.5521,0.6249,0.90407,0.60393,0.91428,0,0.94114,0.96323,0.95884,0.68982,0.90272,0.95181,0.95664,0.62469,0.96667,1.70037,0.62496,0.89342,0,0.00053975,0.00053975,0.00053975
61,38.1248,0.73655,1.01841,0.58975,0.91125,0,0.94114,0.96323,0.95884,0.68982,0.90272,0.95181,0.95664,0.62469,0.96667,1.70037,0.62496,0.89342,0,0.000515,0.000515,0.000515
62,38.7483,0.6627,1.10571,0.65187,0.93386,0,0.93086,0.97329,0.95653,0.69874,0.91937,0.96166,0.95233,0.62612,0.9652,1.73492,0.62548,0.88943,0,0.00049025,0.00049025,0.00049025
63,39.3641,0.67598,0.96288,0.59938,0.89841,0,0.93869,0.9759,0.95912,0.69134,0.9271,0.96386,0.95683,0.62904,0.96805,1.69671,0.61608,0.88727,0,0.0004655,0.0004655,0.0004655
64,39.9352,0.6453,1.00027,0.55792,0.86498,0,0.92465,0.96386,0.95802,0.69536,0.91289,0.95181,0.94467,0.63447,0.94938,1.67749,0.61105,0.88319,0,0.00044075,0.00044075,0.00044075
65,40.5057,0.58294,0.88217,0.6349,0.89271,0,0.92465,0.96386,0.95802,0.69536,0.91289,0.95181,0.94467,0.63447,0.94938,1.67749,0.61105,0.88319,0,0.000416,0.000416,0.000416
66,41.0901,0.63931,0.96243,0.58636,0.8846,0,0.91722,0.96386,0.95822,0.69448,0.90557,0.95181,0.9448,0.61983,0.92757,1.67757,0.60687,0.88006,0,0.00039125,0.00039125,0.00039125
67,41.6617,0.64271,0.95153,0.56538,0.88151,0,0.91751,0.96386,0.95826,0.69942,0.90584,0.95181,0.94589,0.61108,0.91886,1.70028,0.594,0.88228,0,0.0003665,0.0003665,0.0003665
68,42.2235,0.62509,1.00887,0.60244,0.9164,0,0.92899,0.9759,0.9589,0.70003,0.90561,0.95181,0.94529,0.60954,0.92404,1.73103,0.58524,0.8843,0,0.00034175,0.00034175,0.00034175
69,42.7712,0.56689,0.87042,0.57146,0.88542,0,0.92899,0.9759,0.9589,0.70003,0.90561,0.95181,0.94529,0.60954,0.92404,1.73103,0.58524,0.8843,0,0.000317,0.000317,0.000317
70,43.3342,0.59731,0.88427,0.62071,0.93003,0,0.90718,0.9759,0.95564,0.71019,0.89577,0.96386,0.95406,0.61847,0.93251,1.74022,0.57881,0.8859,0,0.00029225,0.00029225,0.00029225
71,44.6617,0.51989,0.78553,0.69053,0.84887,0,0.9271,0.9759,0.9563,0.7101,0.93872,0.98795,0.97076,0.6081,0.92093,1.73006,0.57765,0.88368,0,0.0002675,0.0002675,0.0002675
72,45.2788,0.53027,0.81922,0.7141,0.83564,0,0.92866,0.9759,0.95465,0.69442,0.92866,0.9759,0.96877,0.60734,0.9354,1.73525,0.57607,0.88661,0,0.00024275,0.00024275,0.00024275
73,45.8292,0.49242,0.86831,0.69791,0.84867,0,0.92866,0.9759,0.95465,0.69442,0.92866,0.9759,0.96877,0.60734,0.9354,1.73525,0.57607,0.88661,0,0.000218,0.000218,0.000218
74,46.4074,0.5485,0.81373,0.73189,0.85123,0,0.93796,0.9759,0.9556,0.69377,0.93796,0.9759,0.97146,0.60966,0.94296,1.74836,0.58692,0.88612,0,0.00019325,0.00019325,0.00019325
75,47.0222,0.48233,0.80002,0.61141,0.85319,0,0.93777,0.9759,0.95548,0.69938,0.93777,0.9759,0.97077,0.60988,0.93389,1.73066,0.58497,0.88112,0,0.0001685,0.0001685,0.0001685
76,47.6219,0.54973,0.85712,0.63924,0.87202,0,0.93739,0.96386,0.95457,0.69363,0.92043,0.98795,0.97043,0.61464,0.9263,1.70973,0.58909,0.87799,0,0.00014375,0.00014375,0.00014375
77,48.1736,0.45748,0.71302,0.63538,0.83902,0,0.93739,0.96386,0.95457,0.69363,0.92043,0.98795,0.97043,0.61464,0.9263,1.70973,0.58909,0.87799,0,0.000119,0.000119,0.000119
78,48.7667,0.42913,0.68971,0.69146,0.82924,0,0.92732,0.96386,0.952,0.69372,0.93909,0.9759,0.96813,0.62059,0.91481,1.70905,0.58181,0.87561,0,9.425e-05,9.425e-05,9.425e-05
79,49.354,0.4575,0.77815,0.62319,0.84968,0,0.92786,0.96386,0.95164,0.70812,0.93946,0.9759,0.9691,0.62079,0.9059,1.70955,0.58126,0.87449,0,6.95e-05,6.95e-05,6.95e-05
80,49.9113,0.50456,0.71213,0.64116,0.84503,0,0.92767,0.96386,0.95174,0.71045,0.93945,0.9759,0.96901,0.62375,0.90161,1.72069,0.57531,0.8732,0,4.475e-05,4.475e-05,4.475e-05
