epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,28.7503,0.84042,0.86558,0.80805,0.80437,0,0.59141,0.60184,0.69026,0.50388,0.59141,0.60184,0.68133,0.39625,1.01564,1.08454,1.23639,0.79718,0,0.00033175,0.00033175,0.00033175
56,29.218,1.08193,0.9275,1.39113,0.88463,0,0.59141,0.60184,0.69026,0.50388,0.59141,0.60184,0.68133,0.39625,1.01564,1.08454,1.23639,0.79718,0,0.000319375,0.000319375,0.000319375
57,29.7103,1.00377,1.12328,0.9017,0.80624,0,0.59141,0.60184,0.69026,0.50388,0.59141,0.60184,0.68133,0.39625,1.01564,1.08454,1.23639,0.79718,0,0.000307,0.000307,0.000307
58,30.2286,1.10351,1.23053,1.00216,0.80254,0,0.52672,0.72898,0.70547,0.52435,0.52672,0.72898,0.69492,0.39779,0.98481,1.09058,1.1877,0.7943,0,0.000294625,0.000294625,0.000294625
59,30.7154,0.88548,0.82972,0.81391,0.79773,0,0.52672,0.72898,0.70547,0.52435,0.52672,0.72898,0.69492,0.39779,0.98481,1.09058,1.1877,0.7943,0,0.00028225,0.00028225,0.00028225
60,31.198,0.9178,0.86676,0.94593,0.81011,0,0.52672,0.72898,0.70547,0.52435,0.52672,0.72898,0.69492,0.39779,0.98481,1.09058,1.1877,0.7943,0,0.000269875,0.000269875,0.000269875
61,31.6871,1.28783,1.42666,1.01191,0.79681,0,0.52672,0.72898,0.70547,0.52435,0.52672,0.72898,0.69492,0.39779,0.98481,1.09058,1.1877,0.7943,0,0.0002575,0.0002575,0.0002575
62,32.175,0.86729,0.99251,0.90642,0.86023,0,0.57059,0.74566,0.71802,0.54565,0.54981,0.72714,0.66757,0.39432,0.91727,1.04901,1.22579,0.78546,0,0.000245125,0.000245125,0.000245125
63,32.6391,0.88966,0.93097,0.80955,0.77577,0,0.57059,0.74566,0.71802,0.54565,0.54981,0.72714,0.66757,0.39432,0.91727,1.04901,1.22579,0.78546,0,0.00023275,0.00023275,0.00023275
64,33.1172,0.78492,0.82425,0.90454,0.79473,0,0.57059,0.74566,0.71802,0.54565,0.54981,0.72714,0.66757,0.39432,0.91727,1.04901,1.22579,0.78546,0,0.000220375,0.000220375,0.000220375
65,33.5954,0.82573,0.84287,0.86803,0.7992,0,0.57059,0.74566,0.71802,0.54565,0.54981,0.72714,0.66757,0.39432,0.91727,1.04901,1.22579,0.78546,0,0.000208,0.000208,0.000208
66,34.0973,0.75853,0.8488,0.73742,0.80366,0,0.56981,0.75097,0.71462,0.54788,0.55084,0.7266,0.66759,0.38064,0.87975,1.06119,1.17793,0.78122,0,0.000195625,0.000195625,0.000195625
67,34.5602,0.78693,0.82139,0.82096,0.80899,0,0.56981,0.75097,0.71462,0.54788,0.55084,0.7266,0.66759,0.38064,0.87975,1.06119,1.17793,0.78122,0,0.00018325,0.00018325,0.00018325
68,35.0394,0.68593,0.68713,0.84318,0.8103,0,0.56981,0.75097,0.71462,0.54788,0.55084,0.7266,0.66759,0.38064,0.87975,1.06119,1.17793,0.78122,0,0.000170875,0.000170875,0.000170875
69,35.5296,0.90734,0.96109,0.85496,0.80349,0,0.56981,0.75097,0.71462,0.54788,0.55084,0.7266,0.66759,0.38064,0.87975,1.06119,1.17793,0.78122,0,0.0001585,0.0001585,0.0001585
70,36.0285,0.82046,0.99026,0.80331,0.79543,0,0.54976,0.80461,0.72356,0.55247,0.51977,0.76597,0.67361,0.38494,0.88633,1.06282,1.14835,0.78284,0,0.000146125,0.000146125,0.000146125
71,37.0697,0.7076,0.73477,0.75193,0.81443,0,0.54976,0.80461,0.72356,0.55247,0.51977,0.76597,0.67361,0.38494,0.88633,1.06282,1.14835,0.78284,0,0.00013375,0.00013375,0.00013375
72,37.598,0.73232,0.81553,0.78467,0.80765,0,0.54976,0.80461,0.72356,0.55247,0.51977,0.76597,0.67361,0.38494,0.88633,1.06282,1.14835,0.78284,0,0.000121375,0.000121375,0.000121375
73,38.1098,0.7986,0.84347,0.79824,0.80821,0,0.54976,0.80461,0.72356,0.55247,0.51977,0.76597,0.67361,0.38494,0.88633,1.06282,1.14835,0.78284,0,0.000109,0.000109,0.000109
74,38.5748,1.11496,1.46186,1.2195,0.81421,0,0.58605,0.76688,0.71955,0.55543,0.55854,0.72753,0.67004,0.38801,0.8903,1.04628,1.1425,0.7839,0,9.6625e-05,9.6625e-05,9.6625e-05
75,39.0558,1.09929,1.02524,1.02965,0.81759,0,0.58605,0.76688,0.71955,0.55543,0.55854,0.72753,0.67004,0.38801,0.8903,1.04628,1.1425,0.7839,0,8.425e-05,8.425e-05,8.425e-05
76,39.5133,0.86346,0.88102,0.84808,0.80985,0,0.58605,0.76688,0.71955,0.55543,0.55854,0.72753,0.67004,0.38801,0.8903,1.04628,1.1425,0.7839,0,7.1875e-05,7.1875e-05,7.1875e-05
77,39.9969,1.47712,1.7895,1.51002,0.7896,0,0.58605,0.76688,0.71955,0.55543,0.55854,0.72753,0.67004,0.38801,0.8903,1.04628,1.1425,0.7839,0,5.95e-05,5.95e-05,5.95e-05
78,40.4814,1.0586,1.01788,0.96676,0.78855,0,0.54735,0.78213,0.7063,0.54475,0.51894,0.74424,0.66015,0.3976,0.88953,1.04091,1.15644,0.78282,0,4.7125e-05,4.7125e-05,4.7125e-05
79,40.8814,1.04533,1.21341,0.93855,0.78482,0,0.54735,0.78213,0.7063,0.54475,0.51894,0.74424,0.66015,0.3976,0.88953,1.04091,1.15644,0.78282,0,3.475e-05,3.475e-05,3.475e-05
80,41.2761,0.81762,0.8499,0.77992,0.76229,0,0.54735,0.78213,0.7063,0.54475,0.51894,0.74424,0.66015,0.3976,0.88953,1.04091,1.15644,0.78282,0,2.2375e-05,2.2375e-05,2.2375e-05
